Скважина;Пласт РИГИС;Пластпропласт;Глубина кровли пласта;Толщина;Абсолютная глубина;Абсолютная толщина;Литология;Коллектор
233;Ю1-3-4;Ю1-3-4;3 496.00;1.00;2 601.87;0.97;SAND_GL;да
428;Ю1-3-4;Ю1-3-4;3 017.80;0.60;2 601.88;0.60;ARGILLIT;нет
189;Ю1-3-4;Ю1-3-4;3 125.40;7.60;2 601.95;7.45;SAND_GL;да
215ST2;Ю1-3-4;Ю1-3-4;3 490.00;0.60;2 601.99;0.59;DENSE;нет
238;Ю1-3-4;Ю1-3-4;3 630.00;5.00;2 602.05;4.79;SAND_GL;да
173;Ю1-3-4;Ю1-3-4;3 578.20;0.60;2 602.07;0.59;DENSE;нет
155;Ю1-3-4;Ю1-3-4;3 414.20;0.60;2 602.15;0.58;ALEVROLIT;да
184;Ю1-3-4;Ю1-3-4;3 545.80;0.60;2 602.19;0.59;SAND_UPLOT;да
201;Ю1-3-4;Ю1-3-4;3 390.20;0.80;2 602.22;0.78;SAND;да
193;Ю1-3-4;Ю1-3-4;3 407.00;0.40;2 602.32;0.39;SAND_GL;да
600ST2;Ю1-3-4;Ю1-3-4;3 571.80;0.60;2 602.32;0.58;SAND;да
200;Ю1-3-4;Ю1-3-4;3 367.80;2.60;2 602.35;2.53;SAND_GL;да
603;Ю1-3-4;Ю1-3-4;3 481.60;4.20;2 602.41;4.16;SAND_GL;да
202;Ю1-3-4;Ю1-3-4;3 210.80;1.20;2 602.44;1.18;DENSE;нет
207;Ю1-3-4;Ю1-3-4;3 102.00;1.00;2 602.44;1.00;ALEVROLIT;да
308;Ю1-3-4;Ю1-3-4;3 412.40;1.60;2 602.46;1.53;ARGILLIT;нет
117;Ю1-3-4;Ю1-3-4;3 055.70;2.10;2 602.51;2.09;SAND;да
215ST2;Ю1-3-4;Ю1-3-4;3 490.60;1.20;2 602.58;1.18;ALEVROLIT;да
241;Ю1-3-4;Ю1-3-4;2 904.00;1.00;2 602.64;0.95;ALEVROLIT;да
213;Ю1-3-4;Ю1-3-4;3 567.80;0.80;2 602.65;0.79;SAND_GL;да
173;Ю1-3-4;Ю1-3-4;3 578.80;0.60;2 602.66;0.58;ALEVROLIT;да
193;Ю1-3-4;Ю1-3-4;3 407.40;0.40;2 602.71;0.39;ALEVROLIT;да
155;Ю1-3-4;Ю1-3-4;3 414.80;1.20;2 602.73;1.17;DENSE;нет
7PO;Ю1-3-4;Ю1-3-4;2 727.00;0.60;2 602.75;0.60;DENSE;нет
184;Ю1-3-4;Ю1-3-4;3 546.40;0.60;2 602.78;0.60;DENSE;нет
162;Ю1-3-4;Ю1-3-4;3 262.40;1.40;2 602.81;1.37;ARGILLIT;нет
233;Ю1-3-4;Ю1-3-4;3 497.00;0.40;2 602.84;0.39;ALEVROLIT;да
